STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00094728,"NY CITY CENTRAL PARK, NY US",2/8/16,10.51,,0.05,0.1,0,,39,28,,60,40,21,31.1,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/9/16,4.03,,0,0,0,,36,27,,60,60,14.1,19,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/10/16,5.82,,0.01,0,0,,39,31,,250,240,16.1,23.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/11/16,10.07,,0,0,0,,31,18,,290,290,19.9,36.9,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/12/16,6.71,,0,0,0,,27,15,,290,300,15,27.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/13/16,12.3,,0,0,0,,22,6,,290,290,23,40,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/14/16,6.26,,0,0,0,,15,-1,,310,300,19.9,33.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/15/16,5.37,,0.44,1.4,0,,35,13,,60,60,12.1,17,1,,,,,1,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/16/16,7.83,,1.01,0,0,,54,35,,170,170,18.1,40,1,1,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/17/16,7.38,,0,0,0,,39,35,,320,310,14.1,21.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/18/16,7.16,,0,0,0,,36,27,,30,300,15,23,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/19/16,5.37,,0,0,0,,39,24,,170,180,14.1,23,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/20/16,7.38,,0,0,0,,61,39,,240,240,16.1,30,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/21/16,4.92,,0.03,0,0,,55,44,,60,40,14.1,21,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/22/16,5.14,,0,0,0,,52,38,,70,80,16.1,21.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/23/16,14.54,,0.3,0,0,,40,35,,70,60,23.9,36,1,,,1,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/24/16,10.51,,1.22,0,0,,60,36,,180,190,21,36.9,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/25/16,8.95,,0.02,0,0,,61,37,,260,250,19.9,36,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/26/16,8.72,,0,0,0,,39,27,,290,290,21.9,34,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/27/16,6.04,,0,0,0,,41,26,,250,250,15,23.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/28/16,7.38,,0,0,0,,60,38,,230,200,17,31.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/29/16,8.5,,0.05,0,0,,61,47,,260,270,15,25.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/1/16,7.61,,0,0,0,,52,39,,170,250,15,25.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/2/16,10.51,,0.14,0,0,,55,29,,310,300,23,40,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/3/16,5.82,,0,0,0,,36,26,,310,320,16.1,25.1,,,,,,,,
